mode,word_size,accuracy,train_time,write_time,total_time,efficiency,epoch_losses,epoch_accuracies,model_params
fast,32,50.528,1120.9469628334045,5642.850810000001,1132.2326644534046,2641.379560617692,"[1.7578860570097823, 1.4743012683775725, 1.349876140084718, 1.2540429208589636, 1.182865530481119, 1.125630864859237, 1.0660456200999677, 1.0288141388112626]","[34.514, 45.34, 50.312, 54.458, 57.16, 59.496, 61.942, 62.846]",11173962
fast,64,51.736000000000004,1121.364417552948,2821.4254050000004,1127.007268362948,2805.985037033929,"[1.7815982563721249, 1.4927571819871284, 1.3512798660551495, 1.2319169453037975, 1.1527419791502111, 1.0948090926765481, 1.038074284563284, 0.9993086958785191]","[33.13, 44.312, 50.476, 55.064, 58.428, 60.65, 62.818, 64.214]",11173962
fast,16,50.272000000000006,1121.900881767273,11285.701620000002,1144.472285007273,2599.6511319559336,"[1.7820189837604532, 1.489810185054379, 1.3690162512957287, 1.2637329571082463, 1.1978296565887567, 1.1407034985549616, 1.0834963606751484, 1.041394022267188]","[33.224, 44.808, 49.762, 54.034, 56.646, 58.86, 60.832, 62.61]",11173962
