mode,word_size,accuracy,train_time,write_time,total_time,efficiency,epoch_losses,epoch_accuracies,model_params
fast,64,50.28,1489.7075681686401,2821.4254050000004,1495.3504189786402,2400.194993678605,"[1.7634233099115475, 1.4758733550605871, 1.3329958583387878, 1.2316387039621164, 1.1547763294271192, 1.0934232846855203, 1.0409738483941158, 1.00666679948797]","[33.916, 45.096, 51.038, 55.206, 58.336, 60.64, 62.62, 63.976]",11173962
fast,16,49.96000000000001,1490.643247127533,11285.701620000002,1513.214650367533,2353.786995682709,"[1.7838791285634346, 1.4861575233966797, 1.3658553553969048, 1.2636335844274067, 1.1850842057591509, 1.1217407427175576, 1.0665507831841783, 1.024890441266472]","[32.854, 44.814, 49.714, 53.53, 56.952, 59.44, 61.558, 62.834]",11173962
fast,32,49.456,1493.7819771766663,5642.850810000001,1505.0676787966663,2298.592082927492,"[1.7701224658800208, 1.486467266021787, 1.3540434099524223, 1.2512138481335262, 1.1818185210837733, 1.1231739674992574, 1.071419017851505, 1.0268090667627048]","[33.628, 44.696, 50.182, 54.26, 57.046, 59.416, 61.316, 62.926]",11173962
