mode,word_size,accuracy,train_time,write_time,total_time,efficiency,epoch_losses,epoch_accuracies,model_params
fast,32,50.528,1120.9469628334045,5642.850810000001,1132.2326644534046,2641.379560617692,"[1.7578860570097823, 1.4743012683775725, 1.349876140084718, 1.2540429208589636, 1.182865530481119, 1.125630864859237, 1.0660456200999677, 1.0288141388112626]","[34.514, 45.34, 50.312, 54.458, 57.16, 59.496, 61.942, 62.846]",11173962
fast,64,51.736000000000004,1121.364417552948,2821.4254050000004,1127.007268362948,2805.985037033929,"[1.7815982563721249, 1.4927571819871284, 1.3512798660551495, 1.2319169453037975, 1.1527419791502111, 1.0948090926765481, 1.038074284563284, 0.9993086958785191]","[33.13, 44.312, 50.476, 55.064, 58.428, 60.65, 62.818, 64.214]",11173962
fast,16,50.272000000000006,1121.900881767273,11285.701620000002,1144.472285007273,2599.6511319559336,"[1.7820189837604532, 1.489810185054379, 1.3690162512957287, 1.2637329571082463, 1.1978296565887567, 1.1407034985549616, 1.0834963606751484, 1.041394022267188]","[33.224, 44.808, 49.762, 54.034, 56.646, 58.86, 60.832, 62.61]",11173962
slow,16,84.9345,1096.41561794281,447070.21962000005,1950.101021442248,12492.656846022906,"[1.481790675836451, 1.0392122120808458, 0.8569524195188146, 0.7206057332208394, 0.6467850591672961, 0.5954004104637429, 0.5336324824091724, 0.5017924997812647]","[45.418, 62.756, 69.458, 74.6, 77.44, 79.17, 81.462, 82.584]",11173962
slow,32,85.197,1097.0664072036743,223535.10981000002,1414.1373893069394,13863.563693744047,"[1.4655143633827834, 1.0221947399551605, 0.8282695752580452, 0.6940140965801981, 0.6279775481242353, 0.5732692119563022, 0.5191909663207696, 0.48426806263606564]","[46.206, 63.394, 70.684, 75.526, 77.986, 79.88, 81.954, 83.184]",11173962
slow,64,83.559,1099.4998471736908,111767.55490500001,1147.8420095109527,14059.829611095796,"[1.4533976903351982, 1.010734121512879, 0.8159175731641862, 0.6853354038179987, 0.6201729695967702, 0.5732895836348424, 0.5159689163612893, 0.48223587748644603]","[46.7, 63.72, 71.072, 76.12, 78.618, 79.882, 82.046, 83.24]",11173962
hybrid,64,88.0,1097.6409265995026,84531.02253000002,1469.324952473403,77458.34392385463,"[1.4510605147732494, 1.0280193102634168, 0.8633825580787171, 0.7292155563221563, 0.6649727090392881, 0.6193675833285007, 0.562201546967182, 0.533968223635193]","[46.294, 63.068, 69.28, 74.458, 76.756, 78.198, 80.266, 81.504]",11173962
hybrid,32,88.0,1099.2479193210602,169062.04506000003,1623.4091842932721,75175.29898562083,"[1.452336553874833, 1.027243570903378, 0.8457205536420388, 0.7162107489145625, 0.6569432733613817, 0.6105418929358577, 0.5546926760764987, 0.5329486703323891]","[46.552, 63.112, 70.022, 74.554, 76.966, 78.694, 80.642, 81.604]",11173962
hybrid,16,88.0,1101.7496180534363,338124.09012000007,1930.7229038801236,71365.37941280293,"[1.4690344236086093, 1.0569128915476982, 0.8924537290392629, 0.7512770577922196, 0.6837399204063903, 0.6290133470464545, 0.5710797956227647, 0.5393830684139905]","[45.804, 62.142, 68.242, 73.67, 76.018, 77.92, 79.82, 81.326]",11173962
