Layer,Output Dim,16-bit Write Time (ms),32-bit Write Time (ms),64-bit Write Time (ms)
Input,32x32x3,92.959,46.479,23.24
Conv1,30x30x16,435.744,217.872,108.936
Pool1,15x15x16,108.936,54.468,27.234
Conv2,13x13x32,163.646,81.823,40.912
Pool2,6x6x32,34.86,17.43,8.715
Conv3,4x4x64,30.986,15.493,7.747
Pool3,2x2x64,7.747,3.873,1.937
Flatten,1x1x256,7.747,3.873,1.937
FC1,1x1x128,3.873,1.937,0.968
FC2,1x1x10,0.303,0.151,0.076
Total,-,886.801,443.399,221.702
