mode,word_size,accuracy,train_time,write_time,total_time,efficiency,epoch_losses,epoch_accuracies,final_loss,convergence_rate,model_params
fast,16,48.1504,780.3115255832672,1158.94066,782.6294069032672,2615.857883592122,"[1.7850975376108418, 1.49560950346615, 1.3352682354657546, 1.2670616652654565, 1.2189323267211083, 1.1741797040338102, 1.1328941617323005, 1.1121582181557366]","[19.4973, 30.523499999999995, 35.8632, 38.8739, 40.8714, 42.5306, 43.6951, 44.8341]",1.1121582181557366,0.0,1147466
fast,32,48.3472,844.4696795940399,579.47033,845.6286202540399,2581.996576937397,"[1.781505195213401, 1.497996327151423, 1.3397038200627203, 1.26693641802539, 1.2196701547373896, 1.1843018705430237, 1.1454079438810763, 1.112668426658796]","[19.8373, 30.033900000000003, 35.9244, 38.7702, 40.3733, 41.876099999999994, 43.431599999999996, 44.4567]",1.112668426658796,0.0,1147466
fast,64,48.355399999999996,865.0109639167786,289.735165,865.5904342467786,2565.0743740325315,"[1.7815203951752705, 1.5072790842989217, 1.349538575048032, 1.2736998464750207, 1.2266360767509628, 1.1862952934659046, 1.14468917561614, 1.1134898071703703]","[19.8679, 30.421499999999998, 35.9788, 38.6733, 40.5144, 41.954299999999996, 43.6917, 44.829]",1.1134898071703703,0.0,1147466
slow,16,77.5635,725.1716628074646,45910.11466000001,690.3216054299718,14536.594194782338,"[1.6552948452444638, 1.3118098934958964, 1.1554223773058723, 1.0305339020841262, 0.9487345584701089, 0.8917724790292628, 0.8332224369049073, 0.7959177454780131]","[30.9856, 44.10848000000001, 50.2044, 55.08408000000001, 58.19368, 60.370400000000004, 62.655680000000004, 64.00808]",0.7959177454780131,0.5,1147466
slow,32,75.0645,728.3394901752472,22955.057330000003,637.7637297321978,13715.863571858921,"[1.6611279117359836, 1.3254334354400636, 1.155529929750106, 1.034495795474333, 0.9600707856346581, 0.9012587118148804, 0.847130124428693, 0.8125203537940979]","[30.74272, 43.777280000000005, 50.53376, 55.21656, 57.954480000000004, 60.186400000000006, 62.199360000000006, 63.308879999999995]",0.8125203537940979,0.5,1147466
slow,64,75.35849999999999,875.1279072761536,11477.528665000002,727.6483946169228,13313.39299281142,"[1.6678361155005064, 1.3289771273556878, 1.1666666173934936, 1.0513303868910846, 0.9709482041527244, 0.9193621471348931, 0.8612219678654391, 0.8287699076708626]","[30.694879999999998, 43.562000000000005, 49.74992, 54.56888, 57.2792, 59.14864000000001, 61.51304, 62.87464]",0.8287699076708626,0.5,1147466
hybrid,16,88.0,739.6336920261383,31265.579835000004,943.8384741343659,92123.95445770607,"[2.0261699760661402, 1.5715732641079847, 1.3720836441306505, 1.2233005272991517, 1.135477338643635, 1.0802224008476031, 1.0129525933195562, 0.9846542922889484]","[40.38799999999999, 57.78059999999999, 65.75009999999999, 71.4426, 74.71779999999998, 76.8039, 79.0418, 80.2033]",0.9846542922889484,0.125,1147466
hybrid,32,88.0,727.8794524669647,15632.789917500002,901.5943648118576,93398.20256884597,"[2.0002102241796607, 1.561683898112353, 1.333593657262185, 1.1862639644566704, 1.106469072839793, 1.045508063716047, 0.9882497664760139, 0.9555265323204152]","[40.9584, 58.564899999999994, 67.2911, 72.7122, 75.95519999999999, 78.1724, 80.17569999999999, 81.1716]",0.9555265323204152,0.25,1147466
hybrid,64,88.0,727.4509496688843,7816.394958750001,887.0106505284111,93856.25572787737,"[2.004654563525144, 1.5904582349693073, 1.3885274089434567, 1.2360978638424593, 1.1516541654572767, 1.0916592778528436, 1.0320848636767443, 0.9888507003293316]","[41.2091, 56.8859, 65.0003, 71.0286, 74.152, 76.2197, 78.5404, 80.22859999999999]",0.9888507003293316,0.125,1147466
